period,source_name,destination_name,firm,firm_type,cc1 lcu fee,cc1 fx margin,cc1 total cost %
2016_2Q,Germany,Ghana,Western Union,Money Transfer Operator,14.5,5.06,15.42
2016_2Q,Germany,Ghana,Ria,Money Transfer Operator,10.0,4.57,11.72
2016_2Q,Germany,Nigeria,Western Union,Money Transfer Operator,19.0,4.93,18.5
2016_2Q,Germany,Nigeria,Ria,Money Transfer Operator,10.0,2.81,9.95
2016_2Q,Canada,Ghana,Ria,Money Transfer Operator,8.0,2.5,6.5
2016_2Q,Canada,Ghana,Western Union,Money Transfer Operator,15.0,2.39,9.89
2016_2Q,Canada,Kenya,Western Union,Money Transfer Operator,16.0,4.23,12.23
2016_2Q,Canada,Kenya,Ria,Money Transfer Operator,8.0,4.67,8.67
2016_2Q,Canada,Kenya,WorldRemit,Money Transfer Operator,12.99,2.52,9.01
2016_2Q,Canada,Ghana,WorldRemit,Money Transfer Operator,11.99,1.82,7.82
2016_2Q,Germany,Ghana,WorldRemit,Money Transfer Operator,5.99,1.36,5.64
2016_2Q,Germany,Nigeria,WorldRemit,Money Transfer Operator,5.99,0.0,4.28
2016_2Q,Germany,Ghana,MoneyGram,Money Transfer Operator,6.5,1.91,6.55
2016_2Q,Germany,Ghana,Azimo,Money Transfer Operator,2.99,3.69,5.83
2016_2Q,Belgium,"Congo, Dem. Rep.",Atena Money Transfert,Money Transfer Operator,2.0,-0.29,1.14
2016_2Q,Belgium,"Congo, Dem. Rep.",MoneyGram,Money Transfer Operator,6.9,3.66,8.59
2016_2Q,Belgium,"Congo, Dem. Rep.",MoneyTrans,Money Transfer Operator / Post office,3.0,4.21,6.36
2016_2Q,Belgium,"Congo, Dem. Rep.",Sigue Money Transfers,Money Transfer Operator,4.9,5.09,8.59
2016_2Q,Belgium,"Congo, Dem. Rep.",Small World FS-LCC,Money Transfer Operator,6.0,2.55,6.84
2016_2Q,Belgium,"Congo, Dem. Rep.",Western Union,Money Transfer Operator,7.9,3.35,9.0
2016_2Q,Italy,Nigeria,Banca Intesa SanPaolo via Western Union,Bank / Money Transfer Operator,7.5,5.4,10.76
2016_2Q,Germany,Nigeria,Azimo,Money Transfer Operator,0.0,0.0,0.0
2016_2Q,Italy,Senegal,Banca Intesa SanPaolo via Western Union,Bank / Money Transfer Operator,7.5,0.0,5.36
2016_2Q,Canada,Ghana,MoneyGram,Money Transfer Operator,15.0,3.06,10.56
2016_2Q,Canada,Ghana,Royal Bank of Canada,Bank,15.0,2.68,10.18
2016_2Q,Canada,Ghana,ScotiaBank,Bank,11.0,2.91,8.41
2016_2Q,Canada,Ghana,Sigue Money Transfers,Money Transfer Operator,8.0,1.14,5.14
2016_2Q,Canada,Ghana,Toronto Dominion Bank,Bank,30.0,2.91,17.91
2016_2Q,Canada,Ghana,Xpress Money,Money Transfer Operator,10.0,1.56,6.56
2016_2Q,Belgium,"Congo, Dem. Rep.",WorldRemit,Money Transfer Operator,5.99,3.34,7.61
2016_2Q,Canada,Kenya,MoneyGram,Money Transfer Operator,15.0,4.1,11.6
2016_2Q,Belgium,"Congo, Dem. Rep.",Western Union,Money Transfer Operator,7.9,3.82,9.46
2016_2Q,Canada,Kenya,Royal Bank of Canada,Bank,15.0,2.91,10.41
2016_2Q,Canada,Kenya,ScotiaBank,Bank,11.0,4.23,9.73
2016_2Q,Canada,Kenya,Sigue Money Transfers,Money Transfer Operator,8.0,4.83,8.83
2016_2Q,Canada,Kenya,Small World FS-LCC,Money Transfer Operator,8.0,2.97,6.97
2016_2Q,Canada,Kenya,Toronto Dominion Bank,Bank,30.0,2.91,17.91
2016_2Q,Canada,Kenya,Xpress Money,Money Transfer Operator,8.0,2.2,6.2
2016_2Q,Canada,Nigeria,MoneyGram,Money Transfer Operator,15.0,0.0,7.5
2016_2Q,Canada,Nigeria,Sigue Money Transfers,Money Transfer Operator,8.0,0.0,4.0
2016_2Q,Canada,Nigeria,Small World FS-LCC,Money Transfer Operator,8.0,0.0,4.0
2016_2Q,Canada,Nigeria,Trans-Fast,Money Transfer Operator,4.99,0.0,2.5
2016_2Q,Canada,Nigeria,Xpress Money,Money Transfer Operator,9.0,0.0,4.5
2016_2Q,Canada,Rwanda,MoneyGram,Money Transfer Operator,15.0,-0.94,6.56
2016_2Q,Canada,Rwanda,ScotiaBank,Bank,11.0,-0.32,5.18
2016_2Q,Canada,Rwanda,Western Union,Money Transfer Operator,16.0,-0.32,7.68
2016_2Q,Germany,Ghana,Small World,Money Transfer Operator,8.0,2.5,8.21
2016_2Q,Cameroon,Nigeria,Ecobank RapidCash,Bank,5310.0,5.38,11.09
2016_2Q,Cameroon,Nigeria,Money Express,Money Transfer Operator,5300.0,0.0,0.43
2016_2Q,Cameroon,Nigeria,MoneyGram,Money Transfer Operator,11000.0,0.0,11.83
2016_2Q,Cameroon,Nigeria,Standard Chartered Bank,Bank,31395.0,4.12,37.88
